year,ff_emission
2021,9.568477991174769
2022,9.92290205439815
2023,10.241257324218754
2024,9.77552893518519
2025,9.321702021846072
2026,8.877761718750008
2027,8.445693160445611
2028,8.024481481481493
2029,7.42011181640626
2030,6.8275692997685296
2031,6.24383906611691
2032,5.670906250000011
2033,5.108755985966446
2034,4.748373408564828
2035,4.398743652343763
2036,4.060851851851864
2037,3.7326831416377435
2038,3.4162226562500115
2039,3.297455530237282
2040,3.1893668981481613
2041,3.093941894531262
2042,3.009165653935198
2043,2.9350233109085755
2044,2.685500000000011
2045,2.445580855758113
2046,2.217251012731491
2047,1.9984956054687604
2048,1.791299768518528
2049,1.5636486364294064
2050,1.3465273437500092
2051,1.1399210250289433
2052,0.9428148148148217
2053,0.7571938476562587
2054,0.6120432581018571
2055,0.4773481807002362
2056,0.353093750000004
2057,0.23926510054977101
2058,0.13584736689815413
2059,-0.05817431640624848
2060,-0.24281481481481126
2061,-0.41708899377893216
2062,-0.5820117187499985
2063,-0.7355978551793954
2064,-0.7788622685185155
2065,-0.8118198242187495
2066,-0.8334853877314794
2067,-0.8458738245081011
2068,-0.8479999999999983
2069,-0.8948787796585618
2070,-0.9325250289351839
2071,-0.9599536132812484
2072,-0.9771793981481477
2073,-0.9842172489872674
2074,-0.9250820312499944
