year_stocktake,year,total_emission,ff_emission,temp_anth,temp_anth_rel
2020,1751,0.003,,,
2020,1752,0.003,,,
2020,1753,0.003,,,
2020,1754,0.003,,,
2020,1755,0.003,,,
2020,1756,0.003,,,
2020,1757,0.003,,,
2020,1758,0.003,,,
2020,1759,0.003,,,
2020,1760,0.003,,,
2020,1761,0.003,,,
2020,1762,0.003,,,
2020,1763,0.003,,,
2020,1764,0.003,,,
2020,1765,0.003,0.003,,
2020,1766,0.003,0.003,,
2020,1767,0.003,0.003,,
2020,1768,0.003,0.003,,
2020,1769,0.003,0.003,,
2020,1770,0.003,0.003,,
2020,1771,0.004,0.004,,
2020,1772,0.004,0.004,,
2020,1773,0.004,0.004,,
2020,1774,0.004,0.004,,
2020,1775,0.004,0.004,,
2020,1776,0.004,0.004,,
2020,1777,0.004,0.004,,
2020,1778,0.004,0.004,,
2020,1779,0.004,0.004,,
2020,1780,0.004,0.004,,
2020,1781,0.005,0.005,,
2020,1782,0.005,0.005,,
2020,1783,0.005,0.005,,
2020,1784,0.005,0.005,,
2020,1785,0.005,0.005,,
2020,1786,0.005,0.005,,
2020,1787,0.005,0.005,,
2020,1788,0.005,0.005,,
2020,1789,0.005,0.005,,
2020,1790,0.005,0.005,,
2020,1791,0.006,0.006,,
2020,1792,0.006,0.006,,
2020,1793,0.006,0.006,,
2020,1794,0.006,0.006,,
2020,1795,0.006,0.006,,
2020,1796,0.006,0.006,,
2020,1797,0.007,0.007,,
2020,1798,0.007,0.007,,
2020,1799,0.007,0.007,,
2020,1800,0.008,0.008,,
2020,1801,0.008,0.008,,
2020,1802,0.01,0.01,,
2020,1803,0.009,0.009,,
2020,1804,0.009,0.009,,
2020,1805,0.009,0.009,,
2020,1806,0.01,0.01,,
2020,1807,0.01,0.01,,
2020,1808,0.01,0.01,,
2020,1809,0.01,0.01,,
2020,1810,0.01,0.01,,
2020,1811,0.011,0.011,,
2020,1812,0.011,0.011,,
2020,1813,0.011,0.011,,
2020,1814,0.011,0.011,,
2020,1815,0.012,0.012,,
2020,1816,0.013,0.013,,
2020,1817,0.013,0.013,,
2020,1818,0.014,0.014,,
2020,1819,0.014,0.014,,
2020,1820,0.014,0.014,,
2020,1821,0.014,0.014,,
2020,1822,0.015,0.015,,
2020,1823,0.015,0.015,,
2020,1824,0.016,0.016,,
2020,1825,0.017,0.017,,
2020,1826,0.017,0.017,,
2020,1827,0.018,0.018,,
2020,1828,0.018,0.018,,
2020,1829,0.018,0.018,,
2020,1830,0.024,0.024,,
